,mod,wt
107451,1,1
107450,1,1
107456,1,2
107455,97,1198
107454,2,1
95213,3,28
98966,0,2
98965,2,13
98964,2,919
98963,2,7
98962,2,13
98961,2,13
98960,0,48
98969,0,5
620568,2,68
94639,2,1
94638,0,49
93577,2,13
90703,1,2
86780,2,7
90701,3,1395
90700,2,19
90706,2,204
102218,0,1
102219,0,12
102216,2,13
102217,0,22
102214,1,172
102215,0,21
102212,0,1
102213,2,90
102210,0,3
102211,0,131
108078,1,5
108079,0,804
108076,1,59
108077,1,83
108073,1,1396
104908,2,14
104909,0,9
104900,0,1
104903,2,68
104904,0,1
104905,1,5
104906,1,5
104907,1,30
93578,3,2
99528,2,13
99616,0,10
109697,1,5
99614,0,3
99615,2,2
99612,0,35
99610,0,1
109696,1,5
103491,0,21
99618,0,35
99619,3,2
109694,1,2
109693,1,2
103496,2,68
109691,2,1
103494,0,1
815320,2,44
109309,1,2
109308,1,5
109305,0,21
109304,1,2
109307,0,1
109306,0,30
109301,1,5
109300,1,2
109303,1,5
109302,1,2
88228,2,747
89929,2,234
90931,2,1290
89633,2,1397
91368,0,1
92732,8,1137
91369,0,1
91946,0,3
91947,0,13
91944,2,13
91945,2,9
91942,2,154
91943,0,22
91941,2,79
91948,2,204
91949,2,7
100108,0,3
100109,0,69
107338,1,59
100104,0,12
107337,1,2
100106,0,52
100100,0,69
107333,0,22
145828,1,2
145821,2,68
145822,2,1
145824,1,5
145825,0,1398
145826,0,21
145827,2,1
95848,0,3
100704,2,1
90909,2,53
92812,2,141
90908,3,159
801975,1,2
90905,0,313
801976,1,1
90907,2,398
91720,3,1399
90906,3,187
89630,3,407
90901,2,263
90903,2,53
89637,3,1400
89636,2,139
101279,0,12
101278,0,7
101277,0,12
101271,0,3
101270,0,47
101273,0,1277
101272,0,12
90938,2,13
93148,0,1401
98578,3,352
93149,1,1
98574,0,33
98575,2,20
98576,0,3
98570,0,3
98571,0,201
98572,0,1
98573,0,3
104202,0,21
104170,2,68
104173,2,30
104172,2,30
104200,0,13
89635,3,2
92561,2,9
87099,0,3
87096,2,7
87095,2,1021
87094,2,529
87093,2,240
87092,2,240
94528,0,3
105226,2,30
105227,1,1
105224,0,1
105225,2,2
105222,1,5
105223,2,68
105220,1,2
105221,1,5
105228,1,1
105229,1,2
1318977,3,939
93359,0,12
98886,0,3
108535,1,2
108534,2,68
108537,1,5
108536,2,8
108531,1,2
108530,1,5
108533,1,83
108532,2,68
108539,1,2
108538,1,2
89698,2,14
85380,2,686
136998,1,2
136999,1,5
136996,1,2
136997,2,1
136994,1,2
136995,1,2
136992,1,2
136993,2,1
136990,1,2
136991,2,1
89184,0,1
103314,2,68
103315,0,1
103316,2,25
103317,2,154
103310,1,1
103311,1,1
103312,0,21
103313,0,21
93358,3,2
103318,0,287
103319,0,12
88875,3,1402
88876,2,42
88877,0,12
99562,0,30
97951,0,22
97950,2,2
97012,2,7
97013,2,1
88258,2,7
88259,45,207
97014,0,1
92737,1,5
100665,2,1
100664,0,9
100667,2,29
100666,1,30
100663,2,102
100662,3,222
99414,0,50
87784,2,44
100669,1,3
100668,2,0
95528,2,412
93402,2,843
95522,2,9
95523,3,1403
95524,2,475
95525,1,3
95526,0,3
95527,2,92
87783,0,3
89819,0,105
85687,2,187
86836,2,14
86837,2,1404
94649,2,128
90549,2,14
90548,2,2
95745,57,1405
90545,2,129
90547,8,326
90546,0,97
90540,2,7
90543,2,7
95747,0,1
95741,15,679
96879,54,309
96878,2,30
96873,2,1406
96872,2,30
96871,2,50
95743,2,50
96877,3,41
96876,0,3
96875,2,13
96874,2,9
90099,2,13
90093,2,19
90091,2,475
90090,3,934
90097,2,30
90096,3,31
90094,2,97
112811,0,11
112810,1,2
112813,0,346
112812,1,2
112817,26,889
112816,1,1407
112819,1,2
112818,1,59
94732,2,44
94730,0,3
94731,2,65
94736,2,13
87552,2,30
85405,4,550
87557,2,79
2959749,1,1
2959748,2,1
89739,2,801
99484,0,50
88589,2,7
2620917,2,7
105158,2,30
2620913,2,1408
2620912,2,1409
92564,2,57
1087740,8,1137
1087744,2,17
1087745,2,90
92204,3,1410
92205,0,12
99482,0,36
92206,0,3
97830,1,5
97831,0,3
97835,0,12
97836,1,5
97837,2,13
97838,0,3
92200,3,365
98172,0,1
92201,3,1411
92202,2,129
93137,1,1
105156,1,2
91216,2,1036
105157,1,2
117948,1,1
117949,2,1
93136,2,13
117940,0,52
117941,2,1
117942,1,5
117943,2,1
117944,1,5
117945,1,1
117946,0,8
117947,1,5
89860,2,1111
89861,2,102
89862,2,1
89863,0,22
89865,2,9
89866,2,40
89867,2,111
89868,2,503
89816,2,1412
93130,2,13
142898,2,1
142899,1,2
2783887,0,1
93858,3,2
93859,2,290
98378,2,3
98379,0,12
98376,0,22
98377,3,2
98374,1,3
98375,1,3
98372,1,3
91217,2,488
98370,2,427
98371,3,1
110066,1,5
110067,1,5
110064,1,5
110065,1,2
110062,1,1
110063,0,12
110060,1,2
110061,1,83
92920,0,22
92923,0,52
92925,0,1
92924,3,28
110068,0,12
110069,1,5
104373,1,5
104370,1,2
96002,0,50
96006,1,1
96005,0,3
106206,2,68
106209,2,44
106208,1,5
89734,0,3
88561,2,475
89735,0,22
86284,2,1413
95021,2,1414
97357,2,40
97356,1,1
97351,0,3
97353,90,3
97359,0,47
87986,2,9
99137,2,13
99136,0,3
99135,0,13
99133,0,140
99132,2,9
99131,2,274
99130,1,2
99139,0,69
107558,1,5
107559,2,30
107556,0,21
107554,1,5
107555,0,52
107552,2,68
107553,1,5
107551,1,5
99459,0,1415
86717,0,3
86716,2,1416
87225,2,8
102009,0,229
102008,0,836
102007,2,350
102006,2,465
102005,2,25
102004,0,12
102003,0,3
102002,0,3
102001,2,7
102000,3,1417
107794,0,3
86719,0,52
95020,2,1418
107797,0,12
146984,1,2
146985,1,1
146982,1,2
146983,2,1
146980,1,2
88225,0,1419
93352,0,1420
93351,2,9
106784,2,68
106785,1,1
106786,1,2
106787,1,1421
106782,0,10
106783,1,83
96035,0,3
106788,2,1
106789,1,5
103668,0,1
103669,0,21
103665,2,801
103666,2,30
103667,0,3
103660,1,2
103661,2,68
103662,2,21
103663,1,2
145679,1,1
96032,0,22
105847,2,0
109179,1,59
105843,1,1
87342,3,341
96030,0,1422
1279939,2,1
97714,1,1
131143,1,2
131144,1,2
131146,1,83
131147,1,1
131149,1,5
100319,2,7
100318,0,52
100315,0,1
100314,0,3
100317,2,0
100316,2,217
100311,2,189
100310,2,1
100313,0,50
100312,0,5
618679,1,2
1096222,0,3
97337,1,3
86938,0,1423
86932,2,9
86931,2,30
86930,0,22
86937,2,44
86936,3,316
86934,2,68
86116,0,36
94596,0,3
92067,2,13
94597,0,12
94594,0,3
97336,0,1
94592,0,50
84791,2,1424
94591,0,3
90669,2,1270
85770,3,2
85771,2,228
85777,2,30
2402836,2,1425
87688,0,50
87689,2,69
87687,2,50
87684,0,3
87685,4,1426
87682,2,1427
87683,3,678
87680,2,1
87681,2,44
92294,2,1143
97335,1,2
89683,3,1428
86483,2,1429
86482,0,411
86480,1,12
86486,2,1430
86484,2,13
86488,2,240
88939,0,0
88938,2,9
99033,2,1
88935,3,1
88937,2,44
88931,3,95
88930,2,9
88932,2,1431
86158,2,9
86151,2,2
86150,8,1
86153,2,37
86155,3,31
86154,0,22
86157,1,1
86156,0,1
219509,1,1
219508,2,76
88683,2,69
88682,0,3
88680,2,530
88684,79,1432
1688164,3,1433
89083,1,1
93749,2,13
96248,2,1
96249,0,802
93354,2,1
96330,2,90
96331,2,1
96332,0,1
94237,10,1434
96335,0,12
96336,0,50
96337,2,9
88841,110,1435
89338,2,1436
89339,2,9
88840,2,1
89334,0,35
89335,76,908
89336,1,2
89337,3,92
89330,0,22
89332,111,1437
89333,0,315
103505,1,2
103504,0,21
103507,0,12
103501,0,1438
103500,2,1
103503,2,130
103502,0,1
88845,3,1
103509,0,5
103508,0,1
94088,0,12
90978,2,102
94372,0,48
90970,2,131
90972,0,44
90973,2,53
90974,2,129
90975,7,1439
90976,7,1440
94373,0,48
97196,0,22
97195,3,201
97193,3,2
97192,3,2
97191,2,7
97190,3,13
91171,2,1412
97199,0,3
99331,1,3
110426,1,2
215071,1,1
91170,3,1064
215077,1,1
100839,0,21
110424,1,1
110425,1,5
118268,1,5
118269,1,1
118264,1,5
118265,2,2
118266,1,2
118267,0,36
118260,0,1
118261,2,1
118262,2,1
118263,1,1
107822,2,68
100831,2,9
100832,0,1441
107821,1,5
90358,43,1442
90359,1,5
99489,0,47
90354,2,240
107826,1,5
90356,8,313
90357,2,1418
90350,2,13
90351,2,9
107827,1,5
110428,1,2
100837,2,9
94377,0,156
94740,3,776
106542,2,30
106543,2,68
96011,2,14
109596,2,7
106546,1,2
106547,1,5
106544,1,2
106545,1,2
106819,1,1
91759,58,606
91758,2,53
106814,2,1
106815,1,83
106816,0,74
106817,2,30
106811,2,68
106812,1,2
106813,0,69
91711,0,12
96175,0,13
97975,1,1
97974,0,3
97977,2,20
97976,0,36
97971,0,3
97970,0,3
97973,0,128
97972,0,3
97979,0,12
97978,2,20
2678134,2,0
2678135,2,1
2678133,0,30
88412,2,1443
92229,0,156
92227,0,1444
92225,3,435
92222,2,80
92223,0,12
92220,1,2
88413,0,528
111506,1,5
111507,1,5
111504,1,5
111505,1,5
111502,2,2
111503,1,1
111500,1,5
111501,1,3
111508,2,1
111509,1,83
88410,2,7
110459,2,68
110458,1,1
89370,3,294
88411,0,12
92662,2,215
89525,0,3
91674,2,13
96013,0,3
88416,2,187
89524,3,385
145833,2,1
89527,2,204
88307,0,1
88414,3,1445
99814,2,40
99815,0,3
99816,0,69
99817,0,1446
89526,2,1447
99811,1,3
99812,0,69
99813,2,17
99819,3,2
104504,1,83
104505,2,2
104506,0,12
104507,2,90
104502,0,12
104503,1,1
104508,1,2
104509,1,5
105675,2,1448
105674,0,22
105677,2,802
105676,2,664
105670,2,44
105673,2,1
105672,0,21
105679,1,2
105678,2,68
89520,2,838
102906,0,2
102904,0,36
102905,3,1449
102902,0,21
102903,2,151
102900,0,21
102901,1,5
97247,0,1131
89522,3,1450
88351,0,36
88304,3,464
86504,0,3
97066,2,80
90718,2,13
90599,8,313
107749,2,30
107748,1,1
107747,2,30
107746,1,2
107745,1,83
107744,0,12
107743,1,1
107741,1,2
107740,1,2
95519,0,12
90593,2,122
2812209,1,5
109819,1,2
109818,0,36
109815,1,5
109814,1,2
109817,1,5
109816,1,2
109811,0,1
109810,1,59
109813,1,5
109812,0,36
90595,2,396
112763,1,3
112767,1,5
112766,0,1
112765,0,12
112764,1,2
112769,17,5
112768,1,1
86509,3,1049
100438,0,69
100439,2,139
100434,1,2
100435,0,21
100436,1,1451
100437,0,794
100430,1,1452
100431,3,1395
100432,0,1
100433,1,2
108145,0,1453
108146,1,5
108147,2,68
108148,1,2
108149,1,1
1964908,0,21
92843,2,18
91828,3,1454
86018,2,44
86010,2,1455
86012,2,223
86013,2,1456
86014,1,12
86015,112,1457
86016,113,1458
86017,2,386
118254,1,5
106595,1,2
106594,0,1
106597,0,12
106596,1,5
106591,1,2
106593,2,1
106592,2,68
106599,1,5
106598,1,2
91258,3,1459
100290,2,76
100292,0,36
100293,1,2
100294,2,9
100295,2,30
100296,1,5
100297,1,5
100299,0,12
97897,0,3
101749,1,1
101748,2,14
101745,2,76
101744,2,1083
101747,0,22
101746,0,82
101741,1,5
101740,2,1
101742,0,12
87948,2,3
87945,0,1460
87946,4,1461
87941,0,3
87940,3,858
87942,0,1
92730,2,9
97899,0,35
92731,3,678
92738,2,80
92739,2,53
86385,0,36
92784,2,187
101879,2,1
92866,16,1289
101878,2,65
110308,0,12
95944,2,1462
93058,2,338
95945,2,668
112784,1,5
108805,0,36
108804,0,12
108807,2,1
108806,0,346
108801,1,83
108800,1,2
108803,1,2
108802,1,5
108809,1,2
108808,1,5
89989,2,382
89988,3,1234
87163,2,14
87161,2,154
87160,0,22
87167,2,1463
87166,2,373
87165,2,7
87169,2,7
87168,2,398
118449,1,5
118444,1,5
118445,17,2
118446,1,5
118440,0,21
118441,2,13
118442,0,52
118443,1,83
97893,2,30
88766,2,632
88760,0,35
88761,0,21
107211,0,804
97896,2,13
97990,0,47
90085,14,1464
97786,0,22
97787,0,36
97784,3,2
97785,3,1465
97782,1,1
801109,2,1
97780,2,1
97781,1,3
97788,0,47
97789,3,352
97895,1,3
94329,2,588
94328,0,233
90839,2,106
90838,2,42
90835,2,100
90834,2,42
90837,2,1466
90836,0,1
90833,3,1467
90832,2,97
96788,114,718
96785,2,189
96786,1,3
96781,2,13
96780,0,36
96783,3,41
97438,2,1
97439,1,3
85212,2,67
97434,0,22
97435,0,3
97437,1,2
97430,0,3
97432,1,2
97433,0,3
94254,0,131
94257,2,95
90789,8,1468
85211,2,1469
90041,1,5
90783,2,7
90781,0,22
90780,2,76
90787,2,51
90786,2,1470
90785,2,1471
94253,2,139
94252,2,1
90047,2,187
97312,1,2
88885,2,276
148799,2,1
148798,1,3
148795,1,2
95495,2,12
148796,2,0
95491,3,352
95492,3,502
95493,15,1472
88884,45,1473
88198,0,1474
85315,2,9
97314,98,22
99698,2,985
99699,40,1
99696,0,69
99697,0,36
99694,2,13
99695,0,3
99692,1,2
99693,0,3
99690,0,1475
99691,0,10
95148,0,50
95149,0,10
95142,0,105
95143,2,13
95140,0,1476
95146,0,50
95147,2,427
95144,3,89
95145,2,1477
112561,2,1
112560,0,30
112563,1,1
112562,2,5
112565,2,1
112564,1,1
112567,2,1
112566,1,2
112569,1,30
112568,2,30
97219,2,382
94719,2,19
93469,2,1478
92550,2,175
111209,0,1
111208,1,2
1268548,2,1
97941,2,139
111201,0,1
111200,1,1
111203,2,1
111202,2,1
111205,0,1
111204,1,2
111207,1,2
111206,1,2
88882,2,1479
91490,0,3
91491,2,9
91493,3,645
91494,2,2
91496,0,36
91497,2,851
91498,55,585
91278,3,678
91279,7,5
1288178,2,13
97500,2,25
94749,3,2
94748,2,7
91275,0,22
91276,0,12
91277,2,79
91270,0,13
91271,3,1480
91272,2,30
91273,0,2
94741,0,105
96165,0,12
110556,1,2
110554,1,5
110555,2,1
110552,0,1
110553,1,5
110550,2,1
110558,1,83
110559,1,83
88196,0,12
95399,2,20
145758,1,5
85600,2,1481
91219,2,13
95297,2,13
98648,0,47
98649,3,3
98646,3,41
98644,0,1
98645,0,1
98642,0,21
98643,0,21
98640,3,1403
99999,2,259
99991,2,3
99990,3,12
99993,2,2
99995,0,3
99994,0,3
99997,2,1
99996,0,2
92697,2,1412
101943,2,1482
101942,0,661
101941,2,1483
101940,2,44
101947,1,706
101946,0,12
101945,0,3
101944,2,128
101949,2,1
101948,0,52
104719,2,1
89721,2,1484
89720,1,2
92695,2,243
87267,2,9
92692,2,139
87269,2,9
92791,2,598
1508871,0,35
106629,1,5
106628,1,5
106627,0,52
106626,1,5
106625,1,2
106624,1,2
106623,0,22
106622,1,2
106621,1,2
106620,2,8
102719,0,3
102718,2,9
102717,3,1449
102716,3,2
102715,2,35
102713,1,3
102712,2,9
102710,0,1485
112046,2,68
112047,1,5
112044,1,1
112045,1,2
112042,1,1
112043,2,1
112040,0,12
112041,1,1
89617,2,102
89616,2,57
89615,2,204
85865,2,13
112049,1,2
1116679,0,10
95356,1,3
85866,0,1
86864,3,464
2487561,0,3
92795,0,22
103398,2,1
103399,2,13
103394,2,1
103395,2,9
103397,2,1486
103390,0,21
103391,1,2
103392,3,1
103393,2,13
85683,2,204
85689,2,7
87578,2,597
109668,1,5
109669,1,1
88568,2,274
88569,2,607
109662,0,1
109663,1,5
109660,102,1
109661,1,5
109666,1,1
109667,1,59
109664,0,1
109665,1,1
89851,2,3
89850,3,387
89853,0,22
103970,1,2
103971,0,10
103972,2,44
103973,1,1
103974,1,2
103975,0,35
103976,1,5
103977,3,296
103978,2,146
103979,2,68
89854,2,100
89856,0,233
96300,0,1487
99368,2,76
1854815,1,83
86228,2,95
86223,0,12
86222,0,52
86221,2,1
86220,2,79
86227,2,80
86226,2,1
86225,2,9
93385,2,44
97809,0,22
97808,0,47
98311,0,724
101538,115,1488
101539,0,1489
101532,2,7
101533,0,3
101531,2,81
101536,2,660
101537,2,90
101534,1,5
101535,0,1
2620738,2,439
91343,2,42
93382,2,14
99360,2,40
96424,1,2
2620997,0,36
2620993,0,3
2620992,2,40
2620991,0,33
97334,1,2
85735,2,1490
180037,1,1
97333,2,7
87907,2,613
97332,1,2
111740,96,1
97331,2,146
97330,2,626
111742,1,1
111743,0,1
111744,1,5
111746,1,1
111747,1,1
111047,1,5
111046,1,2
111045,2,1
111044,2,69
111043,2,1
111042,0,1
111041,1,2
94957,0,3
94954,0,1
94955,0,3
94952,0,22
94953,2,144
111049,2,1
111048,1,2
110794,1,5
110795,1,2
110796,0,36
110797,1,2
110790,1,59
110791,1,30
110792,1,1
110793,1,5
110798,1,5
110799,0,12
92354,0,3
92355,0,1
91715,2,7
93380,33,189
92358,2,130
92359,2,475
96082,0,22
96083,23,275
96086,1,5
96087,1,3
96084,2,1418
96085,0,34
85909,2,44
85908,2,44
96626,2,9
96624,0,12
96625,3,296
96622,0,22
96623,2,7
96620,2,13
88186,2,8
96628,0,3
96629,2,204
93381,1,5
88187,2,1491
88180,0,12
88181,0,97
105024,1,2
105025,1,1
105020,1,1
105021,1,2
105022,2,68
105023,2,44
87952,2,1
93478,0,12
98840,0,36
98842,0,22
98843,0,9
98844,0,3
98845,0,1
88378,3,1492
98848,0,36
98849,2,25
94178,2,588
94179,2,1493
104867,0,82
104866,2,9
104865,2,664
104864,2,1
104863,2,1
104862,0,12
104861,2,44
104860,0,12
108733,2,1494
108732,2,30
108731,2,1448
108730,1,5
108737,0,12
108736,1,5
104869,0,12
104868,2,2
102087,0,12
102086,2,1
102085,2,1
102084,2,7
102082,0,21
102081,2,13
102080,2,1
102089,2,44
102088,2,13
106708,2,664
91049,3,170
106704,0,10
106706,17,2
106707,2,1
106700,0,68
106701,2,9
106702,97,1198
106703,1,9
99713,1,2
99712,2,505
99717,0,1
85615,2,943
99715,1,1
99714,0,1
109468,0,1
109469,1,5
109461,2,1
109462,1,5
109463,1,5
109464,1,5
109465,0,52
109466,2,1
109467,0,12
99400,0,22
93045,3,397
89675,0,3
98387,0,135
90678,3,1495
145907,2,2
145906,2,30
145905,1,5
145904,1,5
107079,1,5
145901,1,59
145900,2,68
107077,1,59
107076,2,30
107071,2,30
107073,1,59
107072,0,1
89677,3,284
94152,2,432
98388,0,12
110963,2,1
110962,0,36
110967,0,2
110964,2,2
1447641,1,5
110969,1,5
93674,0,1496
98863,0,625
95826,0,50
1094516,0,3
98861,1,3
98864,51,305
98865,0,3
99191,0,1
90647,2,90
99193,2,1
99192,0,36
91385,1,2
99195,0,1
99194,0,93
98439,2,12
98438,2,102
99197,0,21
98430,2,1
98433,2,1497
90641,2,802
98435,3,657
98434,0,3
98437,0,12
98436,0,35
100939,0,1498
100938,2,79
100931,2,2
100930,0,1
100933,2,30
100932,0,3
100935,0,131
100934,1,3
100937,1,3
100936,0,3
104034,2,1
104035,0,21
101040,1,2
104037,2,30
104031,0,12
104032,0,21
104033,2,259
104038,1,68
104039,2,1
1410842,1,1
85448,2,485
1382222,1,5
96075,0,52
93005,0,50
93004,2,982
93007,2,1499
93006,2,414
85397,3,1400
88374,0,1500
2672535,1,5
105345,2,1
105344,0,35
105347,2,68
105346,2,1
105341,1,2
105340,0,69
105343,1,2
105342,2,68
93002,2,9
105349,2,68
105348,2,68
97039,0,102
89795,2,8
94864,0,3
801500,1,5
91616,2,289
626447,1,5
91617,2,228
86401,2,1501
86400,2,802
86406,2,739
86405,2,18
91612,2,1502
91613,1,2
108470,1,5
108471,1,2
108472,1,5
108474,1,1
108475,1,1
108476,1,5
108477,2,68
108478,2,30
108479,0,1
106272,2,1
106273,1,2
106274,0,1
106275,1,12
106276,31,1
89007,2,964
89003,2,1503
89000,3,1504
89001,0,1505
99768,0,1277
89243,2,106
103589,0,3
103588,2,7
103585,2,13
103584,0,10
103587,2,0
103586,0,1
103581,2,68
103580,2,1
103583,2,1
103582,1,2
89964,0,13
89966,0,35
89961,2,1
89960,0,1
89963,2,9
89962,0,3
91061,2,2
97119,0,1506
91060,2,51
97117,2,427
97115,0,36
97114,0,36
97113,2,1176
91063,0,2
97111,2,50
100580,0,3
100582,2,935
100583,2,607
100584,2,76
100585,0,35
100586,2,7
100587,0,12
100588,0,12
91064,1,2
91067,3,692
106183,1,2
91066,2,434
88063,0,520
88061,1,1
88060,0,1
99762,0,1507
88069,0,1
100058,0,1
100059,0,1
100052,0,1
100053,0,12
100050,2,50
100051,2,13
100056,1,5
100057,2,1231
100054,1,3
100055,2,1
105562,2,44
87108,2,1508
90468,2,7
90469,2,42
90466,2,129
90464,2,1509
90462,2,276
90463,2,470
90460,2,1510
85613,2,9
87107,0,36
112918,1,1165
112919,2,2
112914,1,2
112915,0,1
112917,0,1511
112910,1,1
112911,2,1
112912,1,5
112913,1,1512
93399,0,203
85610,0,22
85552,0,22
85617,2,1
85614,2,30
85007,1,83
95239,0,3
91179,1,5
85717,2,1513
99168,0,3
2620888,2,13
110185,2,1
110184,2,1
110187,1,1
110186,1,1
110181,2,7
110180,2,1
110183,1,1
110182,1,5
94153,0,3
110189,1,5
110188,1,5
104232,0,12
104233,1,2
104230,1,2
104231,0,1
104236,2,25
104237,2,259
104234,1,1
104235,1,1
104238,1,1
104239,1,1
85712,2,7
110238,0,1514
110237,1,2
110236,1,5
110235,1,83
110234,1,2
110233,0,1
110232,1,5
110231,1,5
110230,1,2
104588,1,5
104589,1,1
104585,1,2
104586,1,2
104587,0,12
104580,1,1
104582,2,2
85710,0,35
98611,0,52
1100810,3,1072
85711,2,1515
96387,1,5
105183,1,5
105182,2,1
105181,0,1
105180,2,44
105187,2,68
105186,1,2
98149,0,3
98148,0,3
105189,0,1516
105188,1,2
97751,3,89
97750,1,3
93823,0,19
93822,2,607
93820,0,1
93827,2,7
93826,23,199
93825,3,2
93824,2,414
97755,2,80
93829,2,931
93828,2,30
97754,2,30
97757,2,7
109199,1,5
97756,3,352
102329,1,3
102322,1,3
102323,2,11
102320,75,1
102321,2,44
102326,1,1
102327,2,30
102324,0,1517
98614,0,3
112271,1,5
112270,1,1
112273,2,1
112272,2,1
112275,1,1
112277,1,2
112276,1,2
112279,0,12
109194,2,68
109195,2,1448
98617,0,12
2620874,2,44
98616,2,1125
90145,2,1518
107633,1,5
87021,2,1519
107631,1,5
90144,2,9
107637,2,1
95948,0,3
107636,1,2
100842,2,44
107635,0,36
107634,2,30
112491,0,12
112490,1,5
112492,1,1
96079,3,1245
112499,1,2
100845,1,3
91037,8,1520
88597,2,139
100847,0,12
103749,2,13
103748,1,2
106518,0,1521
91035,1,5
103743,2,44
103742,2,1
103741,0,35
103740,1,12
106511,0,22
103746,1,2
103745,2,44
103744,0,35
111919,1,5
111918,2,1
111911,0,10
111910,2,68
111913,1,5
111912,1,3
111915,2,1
111914,1,5
111917,1,2
111916,3,41
105964,2,664
105967,2,44
105966,1,1522
105961,3,1
105963,1,83
109237,1,2
109236,1,1
88593,1,1523
91030,2,30
93925,2,9
96463,2,1
88592,0,1524
91031,0,9
100218,2,1
145736,0,1
145737,2,14
145730,1,5
145731,1,1
145732,1,5
145733,1,1
100210,2,50
100211,0,22
100212,54,309
100214,2,50
100215,0,1
100217,0,469
88590,2,1525
145694,1,2
92088,2,395
92086,36,1186
92087,2,13
92084,2,90
145699,2,1
145698,0,5
110949,1,5
91232,2,837
95496,3,356
110941,1,2
87258,2,1526
110940,0,1
110943,2,68
1087620,36,1186
110945,1,1
97701,2,25
110944,1,68
626206,1,2
626207,1,1
626208,2,1
626209,1,1
94312,2,1518
108889,1,5
108888,1,2
89909,79,980
89908,3,28
108885,1,5
108884,1,9
108887,0,1
108886,0,30
108881,1,5
108880,0,36
108883,1,1
108882,1,2
86618,3,1527
86619,2,30
86612,0,22
86613,0,48
86610,0,556
86611,2,35
86616,0,1528
86617,0,22
86614,0,3
2679558,2,80
96706,2,9
97542,2,9
91576,0,3
107514,0,3
89279,116,1529
89278,2,562
96479,3,352
96478,2,13
89270,2,302
89273,2,630
89272,0,97
89275,0,22
89274,0,3
89277,0,233
89276,3,1530
103260,0,1
103261,0,21
103262,0,12
103263,2,25
103264,2,1
103266,0,1
103267,2,1
103268,1,1531
103269,2,21
94602,1,5
94017,1,2
96416,0,52
118349,2,30
118348,2,1
118343,2,2
118342,1,1
118341,2,1
118340,1,36
118347,2,1
118346,0,1
858289,2,1
858288,1,83
96292,82,30
94031,3,62
97708,0,12
97709,1,3
97706,114,3
91098,2,13
97704,2,1532
97705,2,7
97702,1,3
97703,2,352
97700,2,352
91099,2,338
95414,2,37
95415,1,5
95417,2,7
95410,0,36
219097,1,5
95412,0,3
99560,0,9
94030,2,9
94056,2,50
99563,0,12
95418,2,5
95419,0,1
99566,0,102
99567,2,7
91094,2,13
91095,2,469
2789927,1,2
91097,0,1
94033,2,1533
94032,3,1534
94034,2,154
94037,2,14
89446,1,3
90195,2,1535
89447,0,3
91579,2,380
89444,2,1536
90167,58,1537
90166,2,9
90165,2,1538
89445,3,1234
90163,2,69
90162,2,128
90161,2,13
90160,0,253
89442,13,2
94036,2,42
89443,2,51
89440,7,2
91578,0,333
91410,0,3
91411,2,90
91412,3,1272
91413,0,12
91414,2,13
91415,3,41
104012,1,1
104013,0,131
104010,1,2
111281,1,5
111280,1,83
111283,0,35
104011,0,1
111285,1,2
111284,1,2
111287,2,1
111286,1,2
111289,1,2
104016,1,2
94473,0,3
101025,0,1
104014,1,1
104015,1,2
94479,1,1
94176,1,2
94633,2,37
91548,0,116
110884,0,1
110885,1,5
110886,0,21
110887,2,30
110880,0,12
110881,1,1
110882,1,83
110883,2,1
92143,3,2
92142,0,12
92141,2,19
92140,2,414
110888,0,5
110889,1,5
92145,0,22
94632,2,7
111425,1,2
111424,1,2
111427,1,2
111421,0,1539
111420,1,1
111422,0,1540
94170,2,1541
94630,2,3
91394,2,7
94637,2,139
94173,3,1542
94013,0,215
94636,2,139
94635,0,12
99919,0,12
99918,2,469
96136,2,0
96134,2,25
802399,0,1
96130,1,1
2771250,1,2
94634,2,104
96138,2,13
854177,2,1
85962,2,975
106335,1,2
106336,2,68
106331,1,1543
106333,1,5
102829,117,1544
102828,0,1545
102825,2,1
102824,0,1
102827,0,22
102826,1,1
102821,1,5
102820,0,12
102823,1,1
102822,2,13
94654,2,17
104799,2,68
104798,2,68
104795,2,1
104794,2,30
104797,0,12
104796,1,5
104791,2,68
104790,1,5
104793,1,5
104792,1,5
105448,1,2
105449,1,2
105442,2,1
105443,2,1
105440,1,2
105441,2,1
105446,2,1546
105447,2,1
105444,2,68
105445,2,204
102797,0,12
102796,1,2
102795,1,1
102794,1,1
102793,3,702
102792,0,1
102791,0,35
102790,2,76
99594,2,1
102799,2,13
102798,2,102
99003,2,563
99001,2,7
99000,0,10
99007,0,52
99006,0,3
99005,2,1
99008,0,1
88254,0,156
109918,2,1
109919,1,1
109910,2,68
109911,0,12
109912,1,59
109913,1,68
109914,2,80
109915,0,52
109916,0,12
109917,0,36
107175,2,1547
107176,118,1548
107177,0,803
107170,1,59
107171,0,30
107172,2,631
94250,1,2
137750,0,3
99503,2,13
145910,1,2
99501,0,35
1744847,0,1549
108359,0,52
108358,1,5
108351,2,30
108350,0,1
108353,1,59
108352,1,1
106490,3,2
106491,0,1
106492,2,30
106493,0,10
106494,2,189
106495,0,10
103468,2,44
103469,0,287
103466,0,12
103467,2,13
103464,2,30
103465,0,12
103462,2,2
103463,3,2
103460,1,5
103461,1,2
87868,0,1
87869,0,36
87866,0,131
87864,0,105
87863,2,139
87861,3,1550
109006,2,1551
109007,1,5
109004,1,5
